,class,layer,tile,decoding_accuracy_delta,ablation_impact,cka,procrustes,pwcca,mean_sq_cca_corr,mean_cca_corr
232,junco_bird,conv_1,8,-0.01544608934068814,0.3,1.1920928955078125e-06,6.9141387939453125e-06,1.4264517006479238e-06,0.997996137539816,0.9979980982735801
233,junco_bird,conv_1,9,-0.0024213382136562683,0.24,1.0192394256591797e-05,8.58306884765625e-06,1.4075287767534306e-06,0.9979961594665748,0.9979981092148659
234,junco_bird,conv_1,10,-0.007035387662868306,1.22,2.8431415557861328e-05,2.2411346435546875e-05,1.4280195252958094e-06,0.997996127619602,0.9979980932240093
235,junco_bird,conv_1,11,-0.006739080213254894,2.16,0.0004405975341796875,0.00021648406982421875,1.4835241531896415e-06,0.9979959888117398,0.9979980226673337
236,junco_bird,conv_1,12,0.013590825486842276,2.2,1.6570091247558594e-05,1.6450881958007812e-05,1.4216465924477006e-06,0.9979961298920849,0.9979980944128102
237,junco_bird,conv_1,13,0.0168848095066869,1.48,0.0001354813575744629,8.726119995117188e-05,1.4544175583885988e-06,0.9979960645702456,0.9979980616397511
238,junco_bird,conv_1,14,0.0076063255046506795,3.3,0.0015642642974853516,0.0005221366882324219,1.4733114056530994e-06,0.9979959867020923,0.9979980224457617
239,junco_bird,conv_1,15,0.0017833049318755761,6.44,0.01950889825820923,0.007664680480957031,1.6212015910843647e-06,0.9979955882436893,0.9979978180037554
240,junco_bird,conv_2,0,0.14353779445700898,0.04,0.0002989768981933594,0.000217437744140625,5.957081784857543e-05,0.9978552630387568,0.9979276290428362
241,junco_bird,conv_2,1,0.06370680258884553,0.0,0.0007010102272033691,0.0004172325134277344,6.032649482889951e-05,0.9978534210044432,0.997926707933842
242,junco_bird,conv_2,2,0.06277982836006207,0.02,0.0026319026947021484,0.0012433528900146484,6.122741928649145e-05,0.9978512543798377,0.9979256245070938
243,junco_bird,conv_2,3,0.07541641560469131,1.42,0.020846664905548096,0.006918668746948242,6.261543795116342e-05,0.9978479852099156,0.997923989436471
244,junco_bird,conv_2,4,0.008448188460745631,0.38,5.5849552154541016e-05,5.841255187988281e-05,5.871073636265489e-05,0.9978573316685809,0.997928663457949
245,junco_bird,conv_2,5,0.00871761384274583,0.12,0.00011521577835083008,8.654594421386719e-05,5.9261589553605276e-05,0.9978560084008766,0.9979280017601958
246,junco_bird,conv_2,6,-0.05608147984428602,0.0,0.0002155303955078125,0.00014209747314453125,5.9835228785276584e-05,0.9978545958247943,0.9979272954018229
247,junco_bird,conv_2,7,-0.057970575116493506,0.02,0.0004901289939880371,0.0003027915954589844,6.112997338825199e-05,0.9978514323835684,0.9979257134743604
248,junco_bird,conv_2,8,-0.12076794103674626,0.92,1.8477439880371094e-06,7.152557373046875e-07,5.830947531004771e-05,0.9978583176813829,0.9979291565138435
249,junco_bird,conv_2,9,-0.08258844746670962,0.5,5.7756900787353516e-05,4.76837158203125e-05,5.9012024072435665e-05,0.9978566140501911,0.9979283046151581
250,junco_bird,conv_2,10,-0.07565640000912499,0.04,0.00017786026000976562,0.0001266002655029297,5.970847541669766e-05,0.9978548761099257,0.99792743555682
251,junco_bird,conv_2,11,-0.05373124068467089,0.06,0.0004482865333557129,0.0002827644348144531,6.103197688056561e-05,0.9978516493529822,0.9979258219871566
252,junco_bird,conv_2,12,0.022479165761629727,0.84,0.00012385845184326172,0.00011157989501953125,5.926152937330009e-05,0.997855980699192,0.9979279879076348
253,junco_bird,conv_2,13,0.01829739302001987,1.98,0.00031948089599609375,0.0002760887145996094,6.0103148560086694e-05,0.9978539040458088,0.9979269494747757
254,junco_bird,conv_2,14,0.07012484371000227,5.32,0.0007814764976501465,0.0006341934204101562,6.098067390125639e-05,0.9978517343780834,0.9979258645263241
255,junco_bird,conv_2,15,0.08018299527958467,13.94,0.019006550312042236,0.005407810211181641,6.231628720154703e-05,0.997848753384652,0.9979243737333204
256,junco_bird,conv_3,0,0.12011995807953402,0.04,0.001331031322479248,0.0004868507385253906,0.000169639216896611,0.9975341865998357,0.9977670526834859
257,junco_bird,conv_3,1,0.04394308008937686,0.24,0.0016372203826904297,0.000667572021484375,0.00017156896256087517,0.997529055462876,0.9977644862515216
258,junco_bird,conv_3,2,0.038681288909034106,0.0,0.002248823642730713,0.0010306835174560547,0.00017298951617772396,0.9975254372085542,0.9977626765229408
259,junco_bird,conv_3,3,0.0045220638491118015,0.02,0.003706037998199463,0.0018308162689208984,0.00017353176154988326,0.9975246909719606,0.9977623033319367
260,junco_bird,conv_3,4,-0.010418659161041233,0.34,6.920099258422852e-05,7.343292236328125e-05,0.0001669917726522252,0.9975414894669407,0.9977707054127622
261,junco_bird,conv_3,5,0.01477655919001597,0.06,0.00018334388732910156,0.00015735626220703125,0.0001690137652443635,0.9975358238020742,0.9977678715545997
262,junco_bird,conv_3,6,-0.006498149150158006,0.42,0.0002974867820739746,0.00023674964904785156,0.00017090791435103725,0.9975308626513748,0.9977653901508309
263,junco_bird,conv_3,7,-0.031939372024335166,0.24,0.0008047819137573242,0.0004673004150390625,0.00017235461386655437,0.9975274170074797,0.9977636667876577
264,junco_bird,conv_3,8,-0.036974636451571286,0.44,2.467632293701172e-05,2.5033950805664062e-05,0.00016610998656851894,0.9975439745397198,0.9977719483951633
265,junco_bird,conv_3,9,-0.02161535876954379,0.14,0.00013172626495361328,0.00011801719665527344,0.00016854962125378847,0.9975370985749179,0.9977685091669318
266,junco_bird,conv_3,10,-0.024601199944042196,0.1,0.0002784132957458496,0.00020933151245117188,0.0001705321749393418,0.9975318229039557,0.997765870439443
267,junco_bird,conv_3,11,-0.015671318739202467,1.02,0.0007516145706176758,0.00043964385986328125,0.00017228806964963983,0.9975274972833712,0.9977637069173387
268,junco_bird,conv_3,12,0.03588316748452691,5.42,0.00025600194931030273,0.000186920166015625,0.00016841879658080483,0.9975375547335084,0.9977687373496436
269,junco_bird,conv_3,13,0.05437449920324555,7.82,0.0005269646644592285,0.00036716461181640625,0.00017053421292756443,0.9975318094579303,0.9977658637074469
270,junco_bird,conv_3,14,0.042398773105538856,12.34,0.0011402368545532227,0.0007462501525878906,0.0001722570784851163,0.9975273347004083,0.9977636255697621
271,junco_bird,conv_3,15,0.047331366475448444,19.08,0.002315044403076172,0.0014772415161132812,0.00017367405222756815,0.9975239920282983,0.9977619536676999
272,junco_bird,conv_4,0,0.02854569179286126,0.0,0.0008226633071899414,0.00039768218994140625,0.0001071406614746584,0.9977117559208554,0.9978558630943969
273,junco_bird,conv_4,1,0.019021460273969004,0.4,0.0010009407997131348,0.0005347728729248047,0.00010835872804404456,0.9977084612788724,0.9978542154061516
274,junco_bird,conv_4,2,0.019340541941499922,0.02,0.0014668703079223633,0.0007572174072265625,0.00010908666259257238,0.997706644572215,0.9978533068560776
275,junco_bird,conv_4,3,0.0282298486820165,0.0,0.0032712817192077637,0.001687765121459961,0.00010937318479076197,0.997706194144823,0.9978530815554737
276,junco_bird,conv_4,4,-0.021742648668369724,0.26,6.669759750366211e-05,6.151199340820312e-05,0.0001053642792341325,0.9977165262224339,0.9978582487593678
